IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
45.77.9.114,4,4,0.00,108.04,0.00
66.42.32.115,4,4,0.00,108.08,0.00
45.77.130.245,4,4,0.00,108.08,0.00
202.182.115.102,4,4,0.00,108.11,0.00
154.31.113.72,4,4,0.00,108.26,0.00
38.180.29.115,4,4,0.00,108.29,0.00
38.180.28.93,4,4,0.00,108.31,0.00
172.104.110.10,4,4,0.00,108.45,0.00
176.97.73.20,4,4,0.00,108.72,0.00
172.104.127.132,4,4,0.00,108.76,0.00
18.183.158.211,4,4,0.00,109.11,0.00
3.112.21.102,4,4,0.00,109.11,0.00
13.230.34.30,4,4,0.00,109.45,0.00
158.101.148.105,4,4,0.00,160.89,0.00
131.186.60.210,4,4,0.00,162.06,0.00
141.147.187.233,4,4,0.00,164.11,0.00
140.238.33.161,4,4,0.00,166.41,0.00
132.145.116.185,4,4,0.00,169.42,0.00
